night bóng_tối 
king vua
application ứng_dụng 
noun danh_từ
love tình_yêu
smart_phone điện_thoại_thông_minh
guardian hộ_vệ
alive còn_sống
song bài_hát
young trẻ
hat cái_mũ
oil dầu
fan câu_lạc_bộ
milk sữa
learn học
tomorrow ngày_mai
result kết_quả
door cửa_sổ
tree cây
paper tờ_giấy
ladder cái_thang
handkerchief khăn_tay
turtle con_rùa
rice_cooker nồi_cơm
write viết
cover vỏ_bọc
month tháng
day ngày
sun mặt_trời
volume âm_lượng
save ghi_nhớ
soul linh_hồn
land vùng_đất
punch đấm
cloth quần_áo
display trình_diễn
punctuality đúng_giờ
exactly chính_xác
time thời_gian
request yêu_cầu
rail đường_ray
loan nợ_nần
learn học_tập
motivation động_lực
art nghệ_thuật
